,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,commit_count,cve_count
266,Nozbe,WatermelonDB,0.009174311927,0.0,1.0,1.0,1.0,1.0,4640,1
267,qos-ch,logback,0.07828674948,1.0,1.0,1.0,1.0,1.0,4639,4
268,apache,avro,0.002772038567,0.0,0.6666666667,0.6666666667,0.6666666667,0.6666666667,4619,3
269,nielsbasjes,yauaa,0.004901960784,0.0,1.0,1.0,1.0,1.0,4618,1
270,cloudflare,workers-sdk,0.0630666245,0.5555555556,1.0,1.0,1.0,1.0,4584,3
271,line,armeria,0.6666666667,1.0,1.0,1.0,1.0,1.0,4537,4
272,node-opcua,node-opcua,0.01382748457,0.8333333333,1.0,1.0,1.0,1.0,4517,3
273,vercel,next.js,0.1708197562,0.3333333333,0.5,0.5,0.6666666667,0.8333333333,42235,6
274,akka,akka-http,0.5,1.0,1.0,1.0,1.0,1.0,4516,1
275,aubio,aubio,0.3866780045,1.0,1.0,1.0,1.0,1.0,4161,7
276,vllm-project,vllm,0.006666666667,0.0,1.0,1.0,1.0,1.0,4512,1
277,apache,servicecomb-java-chassis,0.004201680672,0.0,1.0,1.0,1.0,1.0,4484,1
278,Gallopsled,pwntools,0.5,1.0,1.0,1.0,1.0,1.0,4470,1
279,openstack,mistral,0.06055555556,1.0,1.0,1.0,1.0,1.0,4468,2
280,ronsigal,Resteasy,0.125,1.0,1.0,1.0,1.0,1.0,4448,1
281,remult,remult,0.01470588235,1.0,1.0,1.0,1.0,1.0,4431,1
282,openshift,cluster-monitoring-operator,0.000486381323,0.0,0.0,0.0,0.0,1.0,4427,1
283,apache,commons-configuration,0.1646825397,1.0,1.0,1.0,1.0,1.0,4426,3
284,khoj-ai,khoj,0.001092896175,0.0,0.0,0.5,1.0,1.0,4411,1
285,treasure-data,digdag,1.0,1.0,1.0,1.0,1.0,1.0,4397,1
286,graphite-project,graphite-web,0.1287878788,1.0,1.0,1.0,1.0,1.0,4386,4
287,facebookresearch,ParlAI,0.003293428171,0.0,0.5,0.75,1.0,1.0,4358,2
288,fastify,fastify,0.05866568595,0.6666666667,1.0,1.0,1.0,1.0,4305,3
289,ManyDesigns,Portofino,0.03455964326,1.0,1.0,1.0,1.0,1.0,4301,2
290,openstack,octavia,0.4455705706,0.6666666667,1.0,1.0,1.0,1.0,4285,3
291,kawasima,struts1-forever,0.3333333333,1.0,1.0,1.0,1.0,1.0,4257,2
292,apache,linkis,0.5041152263,1.0,1.0,1.0,1.0,1.0,4230,3
293,lobehub,lobe-chat,0.01404663279,0.75,0.75,0.75,0.75,1.0,4214,4
294,miekg,dns,0.5,1.0,1.0,1.0,1.0,1.0,4200,3
295,videojs,video.js,0.01351351351,1.0,1.0,1.0,1.0,1.0,4167,1
296,firebase,firebase-js-sdk,0.06349206349,1.0,1.0,1.0,1.0,1.0,4159,2
297,WeblateOrg,weblate,0.0,0.0,0.0,0.0,0.0,0.0,28561,5
298,openstack,murano,1.0,1.0,1.0,1.0,1.0,1.0,4155,1
299,flipped-aurora,gin-vue-admin,0.1,1.0,1.0,1.0,1.0,1.0,4154,1
300,feathersjs,feathers,0.125,1.0,1.0,1.0,1.0,1.0,4128,1
301,postcss,postcss,0.4259259259,1.0,1.0,1.0,1.0,1.0,4117,3
302,apache,cordova-android,0.05555555556,1.0,1.0,1.0,1.0,1.0,4113,1
303,apache,trafficcontrol,0.06613756614,1.0,1.0,1.0,1.0,1.0,12926,3
304,GeyserMC,Geyser,0.08333333333,1.0,1.0,1.0,1.0,1.0,4103,1
305,btcsuite,btcd,0.005329361139,0.0,0.5,1.0,1.0,1.0,4085,2
306,rubygems,rubygems,0.004517932615,0.0,0.3333333333,1.0,1.0,1.0,29997,2
307,web3,web3.js,0.007633587786,0.0,1.0,1.0,1.0,1.0,4082,1
