,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
201,jsummers,deark,0.2666666667,1.0,1.0,1.0,1.0,1.0,1.0,3590.0,2,0.2046296296
203,michaelforney,samurai,0.1047619048,1.0,1.0,1.0,1.0,1.0,1.0,356.0,2,0.6333333333
204,projectacrn,acrn-hypervisor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8265.0,2,1.3
205,DPDK,dpdk,0.5454545455,1.0,1.0,1.0,1.0,1.0,1.0,40988.0,2,0.3434782609
206,openvswitch,ovs,0.5074626866,1.0,1.0,1.0,1.0,1.0,1.0,20256.0,2,0.4111111111
208,albertodemichelis,squirrel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,199.0,2,1.3
209,PCRE2Project,pcre2,0.1703703704,0.5,1.0,1.0,1.0,1.0,1.0,1959.0,2,0.314084507
210,hpjansson,chafa,0.1068493151,1.0,1.0,1.0,1.0,1.0,1.0,1344.0,2,1.3
216,bratsche,pango,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,2459.0,1,1.3
217,gisle,html-parser,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1082.0,1,0.2093457944
219,ensc,irssi-proxy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387.0,1,0.3217391304
220,kr,beanstalkd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,834.0,1,0.425
221,davidben,nspluginwrapper,0.02857142857,1.0,1.0,1.0,1.0,1.0,1.0,201.0,1,0.425
223,reubenhwk,radvd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,929.0,1,0.5
225,dajobe,raptor,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7439.0,1,1.3
226,stefanesser,suhosin,0.1666666667,1.0,1.0,1.0,1.0,1.0,1.0,299.0,1,1.3
227,pediapress,pyfribidi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1,0.0005767012687
228,sipa,bitcoin,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,2985.0,1,0.2093457944
230,android,platform_bionic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27479.0,1,1.3
231,ned14,nedmalloc,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,225.0,1,0.8
232,darold,squidclamav,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0,1,1.3
235,libguestfs,libguestfs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12015.0,1,1.3
236,LawnGnome,php-radius,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1,1.3
237,OpenSIPS,opensips,0.01408450704,1.0,1.0,1.0,1.0,1.0,1.0,17865.0,1,1.3
238,SpiderLabs,ModSecurity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3348.0,1,0.4666666667
239,akheron,jansson,0.04347826087,1.0,1.0,1.0,1.0,1.0,1.0,833.0,1,1.3
241,hexchat,hexchat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3382.0,1,0.4111111111
242,dlitz,pycrypto,0.2,1.0,1.0,1.0,1.0,1.0,1.0,931.0,1,0.3769230769
243,jktjkt,trojita,0.08333333333,1.0,1.0,1.0,1.0,1.0,1.0,6593.0,1,0.6333333333
244,cherokee,webserver,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5722.0,1,0.3166666667
248,madler,pigz,0.125,1.0,1.0,1.0,1.0,1.0,1.0,256.0,1,1.3
