,owner,repo,avg_patch_token_count
1019,harttle,liquidjs,2222.5
1250,jenkinsci,folder-auth-plugin,2213.0
754,eclipse,jetty.project,2211.3333333333335
781,electron,electron,2210.5
1147,jborg,attic,2207.0
1901,openstack,manila-ui,2205.0
153,OnShift,turbogears,2204.0
2283,switcherapi,switcher-client-master,2199.0
1467,jonschlinkert,word-wrap,2193.0
1113,isaacs,node-tar,2191.8
2198,snapappointments,bootstrap-select,2191.0
776,eiskalteschatten,compile-sass,2189.0
2203,snowflakedb,snowflake-connector-python,2184.3333333333335
1874,openedx,xblock-lti-consumer,2180.0
65,FiloSottile,nistec,2177.0
161,OpenRefine,OpenRefine,2166.4
331,apache,commons-fileupload,2165.0
2295,tendermint,tendermint,2158.25
1791,netty,netty-incubator-codec-ohttp,2157.0
651,csaf-poc,csaf_distribution,2150.0
1293,jenkinsci,job-config-history-plugin,2148.3333333333335
1264,jenkinsci,github-oauth-plugin,2147.5
1862,open-telemetry,opentelemetry-go-contrib,2144.0
1747,mozilla,pdf.js,2143.5
681,deislabs,oras,2135.0
841,fastify,fastify-http-proxy,2134.0
0,0xJacky,nginx-ui,2126.25
2288,syncthing,syncthing,2124.0
1872,opencv,opencv,2120.0
532,buildbot,buildbot,2119.0
1342,jenkinsci,parameterized-remote-trigger-plugin,2118.0
1310,jenkinsci,m2release-plugin,2117.75
2130,salvoravida,react-adal,2113.0
2447,wollardj,simple-plist,2113.0
600,codecentric,spring-boot-admin,2112.0
398,apache,sling-org-apache-sling-servlets-resolver,2108.0
624,containers,buildah,2108.0
2212,socketio,socket.io-client-java,2108.0
520,brix,crypto-js,2098.5
2075,remarkjs,remark-html,2094.0
1941,pedroetb,tts-api,2090.0
2175,simonh1000,angular-http-server,2088.0
319,apache,ant,2088.0
401,apache,storm,2088.0
632,cookiecutter,cookiecutter,2086.0
597,cmusatyalab,opendiamond,2078.0
1380,jenkinsci,script-security-plugin,2076.0
2178,simonw,datasette,2070.0
2470,xwiki-contrib,oidc,2069.0
1340,jenkinsci,p4-plugin,2068.0
833,facelessuser,pymdown-extensions,2065.0
1914,openstack,trove,2053.0
1239,jenkinsci,electricflow-plugin,2052.4
2343,triaxtec,openapi-python-client,2052.0
1179,jenkinsci,badge-plugin,2051.0
21,AthenZ,athenz,2046.0
2321,toastdriven,django-tastypie,2041.0
593,cloudfoundry,archiver,2038.0
348,apache,hadoop,2033.25
1765,mysticatea,eslint-utils,2033.0
562,charleskorn,kaml,2033.0
633,corazawaf,coraza,2031.6666666666667
719,documize,community,2031.0
462,autovance,ftp-srv,2028.0
1651,marshmallow-code,webargs,2027.0
1095,inventree,inventree,2026.0
1028,hashicorp,vault,2022.0
2248,square,retrofit,2021.0
882,follow-redirects,follow-redirects,2018.5
171,Prestaul,skeemas,2016.0
1944,perwendel,spark,2015.0
1850,octoprint,octoprint,2012.125
605,codehaus-plexus,plexus-utils,2004.6666666666667
1611,lobehub,lobe-chat,2001.0
613,colinhacks,zod,1999.0
2125,sakaiproject,sakai,1996.0
424,apolloconfig,apollo,1992.3333333333333
1423,jenkinsci,workflow-cps-plugin,1983.7142857142858
2134,sass,node-sass,1982.0
2022,pyca,cryptography,1980.8
1881,openshift,assisted-installer,1980.5
971,gorilla,schema,1976.0
370,apache,lucene-solr,1966.8333333333333
405,apache,superset,1964.3333333333333
298,ankitects,anki,1949.0
314,apache,accumulo,1948.6666666666667
315,apache,activemq,1944.4545454545455
778,elastic,apm-agent-go,1942.0
1900,openstack,manila,1936.0
86,HtmlUnit,htmlunit,1932.0
1719,mlflow,mlflow,1928.8636363636363
1631,lyft,confidant,1910.0
2080,reportportal,service-api,1910.0
895,ftonato,nope-validator,1907.0
1665,mattermost,mattermost,1903.5
981,graph-gophers,graphql-go,1902.0
715,dlitz,pycrypto,1902.0
2087,rhysd,Shiba,1901.0
1186,jenkinsci,build-failure-analyzer-plugin,1901.0
1465,jonschlinkert,remarkable,1900.0
2263,stevespringett,Alpine,1899.0
271,aio-libs,aiohttp,1898.3076923076924
1063,hueniverse,hawk,1895.0
601,codeclysm,extract,1895.0
318,apache,airflow,1894.921568627451
2165,shuup,shuup,1893.0
2170,sigstore,gitsign,1890.0
394,apache,skywalking,1889.0
1691,microcosm-cc,bluemonday,1888.5
1779,nearform,fast-jwt,1885.0
1497,junrar,junrar,1880.5
463,aws,amazon-cloudwatch-agent,1876.0
2028,pyinstaller,pyinstaller,1870.5
2033,pypiserver,pypiserver,1867.0
683,delvedor,find-my-way,1863.3333333333333
568,chocobozzz,peertube,1860.5
1315,jenkinsci,mashup-portlets-plugin,1860.0
1291,jenkinsci,jira-ext-plugin,1848.0
2076,remarshal-project,remarshal,1848.0
64,FelixSchwarz,mjml-python,1844.0
213,TeraTermProject,teraterm,1841.0
2330,tornadoweb,tornado,1838.0
357,apache,inlong,1833.6666666666667
84,HashBrownCMS,hashbrown-cms,1833.0
1334,jenkinsci,nunit-plugin,1832.5
206,Starcounter-Jack,JSON-Patch,1826.0
2162,sharpred,deepHas,1826.0
1036,hibernate,hibernate-orm,1825.3333333333333
1139,javadelight,delight-nashorn-sandbox,1819.0
584,clinical-genomics,scout,1819.0
487,beancount,fava,1809.3333333333333
619,commenthol,serialize-to-js,1809.0
703,directus,directus,1807.9333333333334
2234,spring-projects,spring-integration-extensions,1805.5
297,ankane,chartkick,1804.0
2380,vega,vega,1803.0
28,Backblaze,b2-sdk-python,1802.0
1517,kakwa,ldapcherry,1801.0
476,b-heilman,bmoor,1801.0
350,apache,hive,1797.0
2129,saltstack,salt,1796.090909090909
1171,jenkinsci,aws-device-farm-plugin,1791.0
2473,yahoo,serialize-javascript,1790.0
741,duzun,URL.js,1786.0
727,dpgaspar,Flask-AppBuilder,1785.75
1333,jenkinsci,nuget-plugin,1776.0
1081,imgproxy,imgproxy,1773.5
2273,stripe,smokescreen,1769.5
1006,hamba,avro,1769.0
967,gopistolet,gopistolet,1767.0
1346,jenkinsci,pipeline-maven-plugin,1765.0
1003,hail-is,hail,1762.0
541,canonical,operator,1762.0
1266,jenkinsci,gitlab-branch-source-plugin,1759.3333333333333
1847,oblac,jodd,1758.0
2025,pydata,numexpr,1758.0
2153,sebhildebrandt,systeminformation,1756.3636363636363
1178,jenkinsci,backlog-plugin,1756.0
1860,open-policy-agent,opa,1755.2
1118,izatop,bunt,1755.0
360,apache,james-hupa,1755.0
2268,strapi,strapi,1752.7272727272727
2494,zeroturnaround,zt-zip,1749.0
356,apache,incubator-streampark,1745.5
39,Cog-Creators,Red-Dashboard,1745.5
1424,jenkinsci,workflow-job-plugin,1745.0
1211,jenkinsci,conjur-credentials-plugin,1744.0
124,Masterminds,goutils,1744.0
410,apache,tomcat,1743.2818791946308
1322,jenkinsci,mercurial-plugin,1736.0
2062,qutebrowser,qutebrowser,1734.4
2456,xerial,snappy-java,1731.25
2310,tiangolo,fastapi,1726.0
345,apache,flume,1723.6666666666667
820,expressjs,express,1723.3333333333333
1376,jenkinsci,saltstack-plugin,1719.0
2147,scikit-learn,scikit-learn,1717.0
1150,jdennis,keycloak-httpd-client-install,1715.5
2339,treasure-data,digdag,1711.0
810,eventlet,eventlet,1709.0
2415,wasm3,wasm3,1709.0
1391,jenkinsci,sonar-gerrit-plugin,1708.5
527,bruno-robert,window-control,1704.0
547,casdoor,casdoor,1704.0
1896,openstack,ironic,1704.0
322,apache,atlas,1703.0
555,celery,django-celery-results,1702.0
1809,node-red,node-red,1700.0
1240,jenkinsci,email-ext-plugin,1698.6
2091,rkesters,gnuplot,1698.0
1566,kyivstarteam,react-native-sms-user-consent,1697.0
1198,jenkinsci,codedx-plugin,1694.6666666666667
1477,jquense,expr,1683.0
1767,nahsra,antisamy,1680.5
1902,openstack,mistral,1677.5
598,cobbler,cobbler,1676.2727272727273
2077,remult,remult,1676.0
1873,openedx,xblock-drag-and-drop-v2,1675.0
93,IdoPesok,zsa,1674.0
1265,jenkinsci,github-plugin,1673.2
1513,justinas,nosurf,1673.0
1502,jupyter-server,jupyter_server,1672.0
1367,jenkinsci,resource-disposer-plugin,1666.0
1044,home-assistant,core,1664.0
1199,jenkinsci,compact-columns-plugin,1663.0
97,Irrelon,irrelon-path,1655.0
659,cypress-io,request,1654.0
665,dapr,dapr,1653.0
915,giggio,node-chromedriver,1653.0
1275,jenkinsci,google-oauth-plugin,1652.0
1556,kubean-io,kubean,1651.0
637,cortexproject,cortex,1649.5
275,airlift,aircompressor,1645.75
1486,jshttp,cookie,1644.0
707,django,channels,1643.0
1559,kubernetes,ingress-nginx,1641.0
2215,softwaremill,akka-http-session,1641.0
1830,npm,node-tar,1633.5
2383,vendure-ecommerce,vendure,1632.0
658,cyface,django-termsandconditions,1630.0
983,graphite-project,graphite-web,1628.0
963,google-deepmind,reverb,1626.0
842,fastify,fastify-multipart,1624.0
2019,pulp,pulp_ansible,1621.0
1320,jenkinsci,maven-plugin,1620.0
1261,jenkinsci,git-server-plugin,1616.0
1701,mikaelbr,mversion,1612.5
2411,wagtail,wagtail,1609.3333333333333
1355,jenkinsci,publish-over-ftp-plugin,1609.0
1268,jenkinsci,gitlab-oauth-plugin,1606.3333333333333
2404,vuelidate,vuelidate,1605.0
2222,sony,nnabla,1605.0
1853,ollama,ollama,1604.0
421,apache,zeppelin,1603.5714285714287
2006,protocolbuffers,protobuf,1603.0
663,dahlia,fedify,1593.5
1496,junit-team,junit4,1593.0
169,PostHog,posthog-js,1590.0
2031,pypa,pipenv,1588.0
434,apragacz,django-rest-registration,1587.0
80,GoogleContainerTools,jib,1585.0
1481,jquery-validation,jquery-validation,1583.6666666666667
1212,jenkinsci,contrast-continuous-application-security-plugin,1580.0
1861,open-telemetry,opentelemetry-collector-contrib,1576.0
